姓名,github_username,github_score,github_repos,github_stars,github_followers,github_tech_stack,邮箱,当前状态,工作单位
蒋庆远,jiangqy,85,12,500,155,machine_learning; nlp; python,,,
朱可,QwenLM,82.2,36,141688,13046,nlp; python; reinforcement_learning,,,
钱宇阳,ZinYY,78.1,9,523,101,machine_learning; nlp; python; reinforcement_learning,,,
周植,WNJXYK,78.0,48,149,142,javascript; nlp; python,,,
张福翔,SkyworkAI,76.9,34,23314,1482,javascript; nlp; python; reinforcement_learning,,,
庄镇华,Tencent,75,230,467785,12559,javascript; nlp; python,,,
庞竟成,lafmdp,74.8,26,778,48,nlp; python; reinforcement_learning,,,
余亚奇,yuyq96,73.2,25,250,34,computer_vision; deep_learning; machine_learning; nlp; python,,,
钱超,lamda-bbo,70.3,29,398,54,nlp; python; reinforcement_learning; web,,,
刘丹璇,lamda-bbo,70.3,29,398,54,nlp; python; reinforcement_learning; web,,,
薛轲,lamda-bbo,70.3,29,398,54,nlp; python; reinforcement_learning; web,,,
王任柬,lamda-bbo,70.3,29,398,54,nlp; python; reinforcement_learning; web,,,
宋鹏霄,pengxiao-song,70,5,6972,278,deep_learning; nlp; python,,,
郭兰哲,pengxiao-song,70,5,6972,278,deep_learning; nlp; python,,,
罗凡明,FanmingL,66.9,27,84,43,deep_learning; nlp; python; reinforcement_learning,,,
刘仁彪,richardodliu,66.9,97,823,69,deep_learning; nlp; python; reinforcement_learning,,,
侍蒋鑫,shijxcs,66.0,9,133,19,computer_vision; machine_learning; nlp; python,,,
